epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.3544,0.11365,1,1,0.00041,0.00055011,0.00055011,0.00055011
2,52.4534,0.00053,1,1,0.00012,0.00105104,0.00105104,0.00105104
3,72.8185,0.00015,1,1,4e-05,0.00149696,0.00149696,0.00149696
4,92.61,7e-05,1,1,2e-05,0.00141945,0.00141945,0.00141945
5,111.22,4e-05,1,1,2e-05,0.00133693,0.00133693,0.00133693
6,129.505,3e-05,1,1,1e-05,0.00125442,0.00125442,0.00125442
7,148.082,2e-05,1,1,1e-05,0.0011719,0.0011719,0.0011719
8,166.765,1e-05,1,1,1e-05,0.00108938,0.00108938,0.00108938
9,185.144,1e-05,1,1,1e-05,0.00100687,0.00100687,0.00100687
10,203.443,1e-05,1,1,0,0.000924352,0.000924352,0.000924352
11,286.442,1e-05,1,1,0,0.000841835,0.000841835,0.000841835
12,305.268,1e-05,1,1,0,0.000759318,0.000759318,0.000759318
13,323.331,1e-05,1,1,0,0.000676802,0.000676802,0.000676802
14,341.429,1e-05,1,1,0,0.000594286,0.000594286,0.000594286
15,359.738,1e-05,1,1,0,0.000511769,0.000511769,0.000511769
16,377.819,1e-05,1,1,0,0.000429253,0.000429253,0.000429253
17,395.697,1e-05,1,1,0,0.000346736,0.000346736,0.000346736
18,414.136,0,1,1,0,0.00026422,0.00026422,0.00026422
19,432.352,0,1,1,0,0.000181703,0.000181703,0.000181703
20,450.695,0,1,1,0,9.91865e-05,9.91865e-05,9.91865e-05
