epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5354,0.4668,2.26302,1.15844,0.96355,0.96244,0.99259,0.97632,0.28895,0.62944,0.70382,0.000173995,0.000173995,0.000173995
2,70.689,0.29015,0.83493,1.00767,0.97146,0.97668,0.99482,0.9912,0.22089,0.46529,0.59202,0.000335495,0.000335495,0.000335495
3,102.218,0.25861,0.66602,0.97672,0.99381,0.99865,0.99482,0.98257,0.2648,0.43653,0.64272,0.000483108,0.000483108,0.000483108
4,134.079,0.23962,0.58076,0.963,0.99562,0.99857,0.99388,0.99116,0.22989,0.35594,0.59322,0.000463511,0.000463511,0.000463511
5,167.351,0.21635,0.48862,0.94496,0.90484,0.96548,0.99464,0.98865,0.23727,0.50735,0.58461,0.000442682,0.000442682,0.000442682
6,199.698,0.19899,0.42828,0.93718,0.99902,1,0.995,0.99461,0.22818,0.30755,0.59366,0.000421852,0.000421852,0.000421852
7,232.069,0.18277,0.37986,0.92397,0.99656,0.99875,0.99498,0.99413,0.18809,0.29586,0.54533,0.000401022,0.000401022,0.000401022
8,264.357,0.17366,0.34666,0.92716,0.99623,0.99949,0.995,0.99457,0.17124,0.24857,0.52301,0.000380193,0.000380193,0.000380193
9,296.823,0.16203,0.32708,0.91687,0.99008,0.99561,0.99467,0.99467,0.17277,0.29173,0.53471,0.000359363,0.000359363,0.000359363
10,331.714,0.15165,0.30334,0.91251,0.99901,1,0.995,0.995,0.16413,0.25988,0.52631,0.000338534,0.000338534,0.000338534
11,363.697,0.14796,0.27862,0.91194,0.99918,1,0.995,0.995,0.15887,0.24176,0.51548,0.000317704,0.000317704,0.000317704
12,395.625,0.14118,0.26403,0.90374,0.99525,1,0.9945,0.99378,0.16048,0.27744,0.53116,0.000296874,0.000296874,0.000296874
13,428.013,0.13372,0.24739,0.90493,0.99897,1,0.995,0.995,0.14936,0.24803,0.50178,0.000276045,0.000276045,0.000276045
14,462.73,0.13,0.23271,0.90438,0.98989,1,0.9917,0.98793,0.18599,0.24072,0.54998,0.000255215,0.000255215,0.000255215
15,494.728,0.11878,0.22321,0.89528,0.99908,1,0.995,0.995,0.16214,0.2268,0.5131,0.000234386,0.000234386,0.000234386
16,580.308,0.07854,0.20863,0.87618,0.99872,1,0.995,0.99489,0.14594,0.23814,0.49455,0.000213556,0.000213556,0.000213556
17,612.39,0.07082,0.15902,0.8659,0.99821,0.99971,0.995,0.995,0.14361,0.23029,0.49303,0.000192726,0.000192726,0.000192726
18,644.335,0.06143,0.14969,0.87184,0.99844,1,0.995,0.995,0.1635,0.24669,0.52497,0.000171897,0.000171897,0.000171897
19,675.35,0.05997,0.13713,0.87019,0.99864,1,0.995,0.995,0.14846,0.23197,0.50802,0.000151067,0.000151067,0.000151067
20,706.393,0.05469,0.1252,0.86223,0.99887,1,0.995,0.995,0.12768,0.2167,0.48138,0.000130238,0.000130238,0.000130238
21,737.588,0.04983,0.11273,0.8615,0.9984,1,0.995,0.995,0.14202,0.22042,0.49845,0.000109408,0.000109408,0.000109408
22,769.777,0.04615,0.10183,0.85951,0.99853,1,0.995,0.995,0.13141,0.22299,0.48774,8.85784e-05,8.85784e-05,8.85784e-05
23,802.513,0.04233,0.0951,0.8588,0.99896,1,0.995,0.995,0.12578,0.22744,0.47902,6.77488e-05,6.77488e-05,6.77488e-05
24,833.393,0.03916,0.08745,0.85516,0.99898,1,0.995,0.995,0.13111,0.21614,0.49215,4.69192e-05,4.69192e-05,4.69192e-05
25,864.058,0.03515,0.08221,0.8582,0.99894,1,0.995,0.995,0.12974,0.21182,0.48967,2.60896e-05,2.60896e-05,2.60896e-05
