epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.147,1.38419,4.00162,1.65304,0.22532,0.21162,0.13886,0.08676,1.38825,2.95479,1.62718,0.000110861,0.000110861,0.000110861
2,329.554,1.37944,3.25919,1.60986,0.27438,0.34496,0.24878,0.15435,1.39193,2.50768,1.58717,0.000199896,0.000199896,0.000199896
3,458.775,1.37167,2.91988,1.57244,0.42257,0.35595,0.33483,0.20448,1.39463,2.25805,1.56054,0.000266954,0.000266954,0.000266954
4,586.809,1.34368,2.672,1.54615,0.44212,0.43105,0.39328,0.24251,1.35391,2.06386,1.51395,0.000234099,0.000234099,0.000234099
5,714.296,1.32021,2.44742,1.51628,0.45285,0.48033,0.42201,0.26187,1.33951,1.97625,1.49134,0.000201132,0.000201132,0.000201132
6,841.861,1.29366,2.25597,1.48559,0.54598,0.46626,0.48313,0.30147,1.3208,1.81806,1.47253,0.000168165,0.000168165,0.000168165
7,969.771,1.27851,2.11609,1.46423,0.57143,0.53063,0.53439,0.34173,1.30776,1.67116,1.46267,0.000135198,0.000135198,0.000135198
8,1096.75,1.2507,1.97126,1.44015,0.60659,0.53226,0.55944,0.353,1.29209,1.60661,1.45249,0.000102231,0.000102231,0.000102231
9,1224.45,1.2304,1.87303,1.42531,0.6185,0.56183,0.58733,0.37711,1.27821,1.55141,1.44312,6.9264e-05,6.9264e-05,6.9264e-05
10,1353.13,1.21211,1.7733,1.40686,0.64967,0.55705,0.598,0.38225,1.27201,1.50352,1.42655,3.6297e-05,3.6297e-05,3.6297e-05
