epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.837,1.83917,4.1951,1.88011,0.71253,0.05983,0.07547,0.03065,1.77009,3.36913,1.64653,4.76333e-05,4.76333e-05,4.76333e-05
2,340.951,1.61763,3.60428,1.74363,0.69188,0.0772,0.11041,0.05462,1.73688,3.28504,1.69537,9.05826e-05,9.05826e-05,9.05826e-05
3,499.236,1.57223,3.5007,1.71329,0.40453,0.15186,0.13708,0.05711,1.7979,3.1051,1.72774,0.000128813,0.000128813,0.000128813
4,653.088,1.55001,3.45268,1.69463,0.38095,0.18619,0.13262,0.05817,1.73844,3.14744,1.70345,0.000121765,0.000121765,0.000121765
5,808.964,1.51952,3.41254,1.67645,0.51995,0.14405,0.15308,0.06733,1.71387,3.17412,1.71465,0.000114686,0.000114686,0.000114686
6,966.351,1.50821,3.37666,1.66064,0.44153,0.17838,0.15488,0.08885,1.57538,2.8722,1.63013,0.000107607,0.000107607,0.000107607
7,1122.42,1.48208,3.34081,1.6515,0.65772,0.12518,0.16336,0.09759,1.50292,2.75875,1.58105,0.000100529,0.000100529,0.000100529
8,1278.52,1.47645,3.31556,1.64577,0.69516,0.1423,0.18735,0.10421,1.55958,2.74026,1.60828,9.34505e-05,9.34505e-05,9.34505e-05
9,1432,1.46709,3.28754,1.63237,0.58179,0.18003,0.17879,0.10872,1.51678,2.76334,1.57525,8.6372e-05,8.6372e-05,8.6372e-05
10,1587.9,1.45603,3.26442,1.62784,0.4852,0.18941,0.18197,0.10293,1.57147,2.76753,1.62371,7.92935e-05,7.92935e-05,7.92935e-05
11,1774.58,1.73651,3.26864,1.79124,0.48256,0.22436,0.22012,0.12951,1.48226,2.26755,1.5687,7.2215e-05,7.2215e-05,7.2215e-05
12,1927.34,1.71021,3.12439,1.78974,0.49068,0.241,0.24105,0.14415,1.44861,2.11452,1.54502,6.51365e-05,6.51365e-05,6.51365e-05
13,2083.28,1.69886,3.06152,1.78021,0.44991,0.23451,0.227,0.14718,1.36995,2.24266,1.52575,5.8058e-05,5.8058e-05,5.8058e-05
14,2238.78,1.68748,2.99605,1.76195,0.41765,0.25655,0.23614,0.1516,1.34462,2.14259,1.48399,5.09795e-05,5.09795e-05,5.09795e-05
15,2390.75,1.66907,2.94095,1.75466,0.35745,0.30888,0.27184,0.16504,1.38666,2.01792,1.50858,4.3901e-05,4.3901e-05,4.3901e-05
16,2545.12,1.65935,2.89875,1.75092,0.40106,0.29769,0.27691,0.17275,1.37634,2.00371,1.48415,3.68225e-05,3.68225e-05,3.68225e-05
17,2699.16,1.63859,2.84194,1.73821,0.44687,0.31566,0.29948,0.18863,1.3858,1.886,1.494,2.9744e-05,2.9744e-05,2.9744e-05
18,2851.62,1.64123,2.80321,1.73289,0.40846,0.31217,0.27968,0.1769,1.38141,1.97176,1.50055,2.26655e-05,2.26655e-05,2.26655e-05
19,3007.2,1.62378,2.77185,1.73699,0.44109,0.32406,0.29718,0.1929,1.30174,1.98105,1.46864,1.5587e-05,1.5587e-05,1.5587e-05
20,3161.5,1.62076,2.74323,1.7332,0.47101,0.3262,0.31011,0.19892,1.3095,1.90822,1.47244,8.5085e-06,8.5085e-06,8.5085e-06
