epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3948,1.52981,4.69456,1.38633,0.03244,0.24332,0.02864,0.01896,1.46226,4.16022,1.22712,0.0033,0.0033,0.0033
2,44.0698,1.5438,3.83176,1.33735,0.08802,0.1434,0.0536,0.02892,1.94875,3.39425,1.58755,0.00658955,0.00658955,0.00658955
3,60.5894,1.67811,2.96395,1.43385,0.2334,0.13407,0.05279,0.02367,2.02065,3.41756,1.95051,0.00983511,0.00983511,0.00983511
4,77.414,1.65877,2.70511,1.45068,0.15434,0.12273,0.03162,0.01521,1.94183,4.36318,1.63324,0.009802,0.009802,0.009802
5,94.033,1.62652,2.52976,1.40698,0.19337,0.23887,0.12577,0.06646,1.70079,2.94173,1.46788,0.009736,0.009736,0.009736
6,111.484,1.58837,2.40187,1.37443,0.16541,0.26041,0.11769,0.06594,1.64145,2.98171,1.39699,0.00967,0.00967,0.00967
7,128.587,1.54236,2.36338,1.38121,0.26131,0.25602,0.17873,0.10295,1.61531,2.63828,1.42243,0.009604,0.009604,0.009604
8,145.553,1.5416,2.30182,1.37209,0.31125,0.34475,0.25991,0.14864,1.5754,2.29997,1.3848,0.009538,0.009538,0.009538
9,162.031,1.54089,2.20439,1.33844,0.23662,0.28209,0.19688,0.10689,1.70622,2.48986,1.42681,0.009472,0.009472,0.009472
10,178.146,1.50306,2.11939,1.31481,0.28524,0.32605,0.22814,0.12686,1.56975,2.41547,1.35334,0.009406,0.009406,0.009406
11,194.888,1.48998,2.13632,1.33236,0.30768,0.30927,0.22655,0.13587,1.53839,2.46381,1.38532,0.00934,0.00934,0.00934
12,211.202,1.47563,2.0596,1.31494,0.37666,0.35846,0.31093,0.18253,1.50519,2.01265,1.33057,0.009274,0.009274,0.009274
13,227.541,1.48759,2.03448,1.31294,0.35109,0.36028,0.28553,0.16999,1.50022,2.1142,1.30563,0.009208,0.009208,0.009208
14,243.688,1.46849,2.02834,1.30753,0.40944,0.39696,0.36337,0.21589,1.47857,1.87775,1.3136,0.009142,0.009142,0.009142
15,259.915,1.46149,1.98024,1.31838,0.40241,0.39773,0.35431,0.21188,1.47831,1.87811,1.29899,0.009076,0.009076,0.009076
16,276.484,1.4527,1.96403,1.30186,0.45463,0.40649,0.37841,0.23156,1.47141,1.82883,1.29927,0.00901,0.00901,0.00901
17,293.32,1.44553,1.94925,1.30447,0.39635,0.34645,0.34146,0.20753,1.45159,1.98947,1.28218,0.008944,0.008944,0.008944
18,309.388,1.42763,1.89937,1.30516,0.33139,0.34038,0.27309,0.16269,1.48656,2.1928,1.28017,0.008878,0.008878,0.008878
19,326.279,1.41604,1.87282,1.30211,0.42987,0.39021,0.37576,0.22488,1.47957,1.85311,1.31308,0.008812,0.008812,0.008812
20,343.355,1.42026,1.85296,1.29288,0.45237,0.45665,0.42362,0.26023,1.43686,1.73746,1.27211,0.008746,0.008746,0.008746
21,360.713,1.4217,1.83637,1.28067,0.45172,0.42975,0.39983,0.24238,1.47761,1.85488,1.28643,0.00868,0.00868,0.00868
22,377.833,1.42258,1.81537,1.27617,0.40597,0.41091,0.37838,0.22231,1.4603,1.85757,1.27547,0.008614,0.008614,0.008614
23,395.386,1.40411,1.76108,1.27968,0.47353,0.39853,0.40907,0.24906,1.44473,1.78705,1.2645,0.008548,0.008548,0.008548
24,412.655,1.39161,1.76499,1.27554,0.5131,0.45731,0.45553,0.28189,1.42084,1.6253,1.2519,0.008482,0.008482,0.008482
25,429.987,1.4031,1.76335,1.27797,0.51493,0.43808,0.44944,0.28049,1.40359,1.69403,1.24696,0.008416,0.008416,0.008416
26,447.318,1.40378,1.74384,1.26859,0.46808,0.46536,0.44831,0.27046,1.44028,1.61964,1.26528,0.00835,0.00835,0.00835
27,463.116,1.38504,1.70417,1.25673,0.51342,0.46861,0.46567,0.28833,1.4134,1.58362,1.25018,0.008284,0.008284,0.008284
28,479.122,1.38347,1.68337,1.25985,0.51835,0.4341,0.43805,0.2648,1.44653,1.72659,1.24367,0.008218,0.008218,0.008218
29,495.527,1.36775,1.68661,1.26571,0.52902,0.4762,0.48499,0.30191,1.39528,1.56164,1.25445,0.008152,0.008152,0.008152
30,511.81,1.37314,1.66532,1.26491,0.54858,0.49005,0.5042,0.30883,1.42172,1.49958,1.27682,0.008086,0.008086,0.008086
31,528.152,1.38838,1.64357,1.25708,0.5068,0.45462,0.45136,0.27323,1.42129,1.64353,1.25106,0.00802,0.00802,0.00802
32,544.645,1.37365,1.63438,1.25647,0.5509,0.47302,0.48283,0.2977,1.38906,1.5186,1.23593,0.007954,0.007954,0.007954
33,560.951,1.36622,1.60381,1.24617,0.56985,0.4509,0.49908,0.31249,1.39082,1.52343,1.24145,0.007888,0.007888,0.007888
34,577.94,1.34791,1.60273,1.26516,0.54611,0.48715,0.49673,0.31449,1.38574,1.50582,1.23985,0.007822,0.007822,0.007822
35,594.432,1.35927,1.58688,1.25947,0.52042,0.52203,0.52315,0.3276,1.38311,1.43816,1.23443,0.007756,0.007756,0.007756
36,611.397,1.35,1.57781,1.25638,0.53712,0.46688,0.48696,0.30343,1.39877,1.55414,1.23824,0.00769,0.00769,0.00769
37,627.707,1.36132,1.58551,1.25215,0.46088,0.41185,0.42372,0.26017,1.39749,1.70917,1.23133,0.007624,0.007624,0.007624
38,645.003,1.34868,1.54719,1.24666,0.53335,0.50378,0.51525,0.32272,1.37308,1.45889,1.21593,0.007558,0.007558,0.007558
39,661.729,1.34106,1.51185,1.24083,0.49471,0.48435,0.47872,0.29322,1.37897,1.56502,1.21796,0.007492,0.007492,0.007492
40,678.488,1.33832,1.5253,1.24352,0.62221,0.50692,0.56444,0.3504,1.38191,1.34543,1.22397,0.007426,0.007426,0.007426
41,694.904,1.33038,1.50669,1.23958,0.55882,0.49088,0.51496,0.32236,1.38662,1.48669,1.21387,0.00736,0.00736,0.00736
42,711.285,1.33359,1.49331,1.24122,0.59483,0.53388,0.56456,0.35564,1.36931,1.36624,1.21639,0.007294,0.007294,0.007294
43,727.519,1.32692,1.48204,1.23386,0.60876,0.56266,0.59246,0.37371,1.36299,1.3003,1.22011,0.007228,0.007228,0.007228
