epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.139,1.31042,2.50075,1.28548,0.46138,0.25691,0.19011,0.12528,1.42011,3.64044,1.51248,0.0700443,0.00332841,0.00332841
2,285.486,1.27621,1.95003,1.30486,0.30799,0.31842,0.25392,0.17875,1.2598,2.28977,1.33722,0.0399784,0.00659579,0.00659579
3,359.354,1.21589,1.75128,1.27008,0.36855,0.32776,0.27753,0.1908,1.24796,2.01464,1.33635,0.00984641,0.00979717,0.00979717
4,432.645,1.17162,1.63486,1.25182,0.53806,0.36326,0.37243,0.2606,1.1433,1.75637,1.26053,0.009703,0.009703,0.009703
5,505.576,1.13738,1.52384,1.2341,0.58945,0.41135,0.45843,0.31453,1.08838,1.54856,1.23221,0.009604,0.009604,0.009604
6,578.544,1.11496,1.45498,1.21669,0.5127,0.47408,0.46598,0.32293,1.06869,1.52509,1.22117,0.009505,0.009505,0.009505
7,651.266,1.09374,1.38595,1.2065,0.62484,0.49064,0.51582,0.3528,1.03732,1.40951,1.20242,0.009406,0.009406,0.009406
8,723.613,1.07337,1.35068,1.19998,0.56002,0.50643,0.51842,0.36602,1.03217,1.34319,1.1925,0.009307,0.009307,0.009307
9,797.113,1.06408,1.3032,1.18963,0.64757,0.4655,0.53483,0.37087,1.04251,1.31524,1.19439,0.009208,0.009208,0.009208
10,870.175,1.0532,1.26638,1.18111,0.58199,0.55064,0.5506,0.38979,0.99328,1.22828,1.17057,0.009109,0.009109,0.009109
11,943.657,1.04144,1.23717,1.17482,0.63951,0.53745,0.57908,0.41681,0.98588,1.16533,1.15337,0.00901,0.00901,0.00901
12,1016.47,1.03376,1.21255,1.17204,0.64262,0.5748,0.60332,0.42694,0.96511,1.15849,1.15011,0.008911,0.008911,0.008911
13,1089.82,1.02245,1.18452,1.16473,0.60749,0.57886,0.59673,0.41943,0.9811,1.15763,1.15678,0.008812,0.008812,0.008812
14,1162.75,1.01074,1.15974,1.15795,0.70335,0.54347,0.59735,0.42882,0.9436,1.09355,1.13259,0.008713,0.008713,0.008713
15,1236.19,1.00366,1.14954,1.15233,0.65556,0.58221,0.61938,0.44076,0.94517,1.08322,1.13349,0.008614,0.008614,0.008614
16,1309.32,1.00116,1.12847,1.15097,0.64834,0.61754,0.62753,0.44788,0.94589,1.05386,1.13809,0.008515,0.008515,0.008515
17,1382.36,0.99268,1.10034,1.14729,0.68397,0.59319,0.64441,0.45586,0.93853,1.03564,1.12398,0.008416,0.008416,0.008416
18,1454.74,0.98584,1.08555,1.14154,0.61721,0.62871,0.63669,0.45081,0.92629,1.03228,1.12182,0.008317,0.008317,0.008317
19,1527.86,0.98649,1.07902,1.14262,0.70082,0.62998,0.65964,0.47578,0.91564,1.00053,1.11465,0.008218,0.008218,0.008218
20,1600.6,0.97699,1.05736,1.1359,0.7261,0.60162,0.65373,0.4717,0.90605,0.96807,1.10046,0.008119,0.008119,0.008119
21,1673.84,0.97944,1.05343,1.13786,0.74369,0.59371,0.66518,0.48273,0.90651,0.97756,1.10432,0.00802,0.00802,0.00802
22,1746.51,0.97078,1.04502,1.13351,0.67332,0.62792,0.6582,0.47392,0.90114,0.97805,1.09517,0.007921,0.007921,0.007921
23,1819.9,0.96255,1.02567,1.12808,0.68526,0.63567,0.66507,0.48586,0.89675,0.96743,1.10077,0.007822,0.007822,0.007822
24,1892.96,0.95565,1.0129,1.12318,0.692,0.62477,0.66894,0.48869,0.89997,0.95496,1.09927,0.007723,0.007723,0.007723
25,1965.65,0.95586,1.00815,1.12309,0.67526,0.64533,0.68233,0.49712,0.88767,0.93722,1.09296,0.007624,0.007624,0.007624
26,2038.41,0.95357,0.99074,1.12209,0.6984,0.64198,0.67912,0.49851,0.88642,0.91777,1.08968,0.007525,0.007525,0.007525
27,2111.65,0.94751,0.98716,1.11648,0.70963,0.63624,0.68869,0.50268,0.88151,0.90775,1.0867,0.007426,0.007426,0.007426
28,2184.59,0.94957,0.98119,1.12028,0.71218,0.63566,0.67534,0.49606,0.87918,0.91084,1.08795,0.007327,0.007327,0.007327
29,2257.51,0.94038,0.96857,1.11814,0.70812,0.66329,0.6823,0.50098,0.87864,0.90419,1.08815,0.007228,0.007228,0.007228
30,2330.24,0.94083,0.95471,1.11368,0.70593,0.63622,0.68159,0.49843,0.87787,0.88998,1.08518,0.007129,0.007129,0.007129
31,2403.16,0.93657,0.95028,1.1117,0.70153,0.67374,0.68991,0.50568,0.87767,0.8881,1.08903,0.00703,0.00703,0.00703
32,2475.98,0.92953,0.94006,1.10646,0.74498,0.64485,0.69298,0.50645,0.87575,0.88754,1.08706,0.006931,0.006931,0.006931
33,2549.16,0.92829,0.93276,1.1063,0.74013,0.63835,0.6881,0.50557,0.87476,0.88171,1.08128,0.006832,0.006832,0.006832
34,2622.28,0.92085,0.92388,1.10382,0.71003,0.64959,0.68844,0.51038,0.87015,0.87625,1.08094,0.006733,0.006733,0.006733
35,2695.22,0.91746,0.91454,1.10092,0.72095,0.6745,0.69557,0.51559,0.86931,0.8691,1.08353,0.006634,0.006634,0.006634
36,2767.74,0.9209,0.91581,1.10189,0.73766,0.66769,0.70194,0.52027,0.86776,0.85611,1.0809,0.006535,0.006535,0.006535
37,2840.61,0.91403,0.90484,1.10014,0.75448,0.66523,0.69906,0.51744,0.86695,0.84799,1.07841,0.006436,0.006436,0.006436
38,2913.35,0.91522,0.90196,1.10117,0.77938,0.65274,0.69962,0.52103,0.86351,0.84394,1.07682,0.006337,0.006337,0.006337
39,2986.42,0.90929,0.89276,1.09664,0.7719,0.65647,0.7,0.51891,0.85967,0.8385,1.07239,0.006238,0.006238,0.006238
40,3059.18,0.90861,0.88884,1.09718,0.78386,0.63979,0.70049,0.51823,0.85645,0.84028,1.06823,0.006139,0.006139,0.006139
41,3132.5,0.90331,0.87347,1.08957,0.78972,0.64418,0.70324,0.51979,0.85564,0.83646,1.06845,0.00604,0.00604,0.00604
42,3205.41,0.90009,0.87065,1.09066,0.77597,0.65233,0.70593,0.52297,0.85464,0.83514,1.06777,0.005941,0.005941,0.005941
43,3278.15,0.90372,0.87175,1.092,0.78564,0.65204,0.70751,0.52276,0.85342,0.83425,1.06639,0.005842,0.005842,0.005842
44,3350.8,0.90263,0.87102,1.09004,0.7955,0.65013,0.70888,0.52318,0.853,0.83162,1.06626,0.005743,0.005743,0.005743
45,3423.42,0.8998,0.86007,1.08685,0.78866,0.65519,0.70945,0.52531,0.85198,0.8302,1.06481,0.005644,0.005644,0.005644
46,3496.36,0.90191,0.85929,1.08796,0.78362,0.65711,0.70754,0.52587,0.85044,0.82716,1.06401,0.005545,0.005545,0.005545
47,3569.75,0.89549,0.8484,1.08505,0.77305,0.65858,0.70745,0.52604,0.84945,0.822,1.06416,0.005446,0.005446,0.005446
48,3642.32,0.89033,0.84926,1.08322,0.76981,0.65926,0.70582,0.52558,0.84905,0.81935,1.06375,0.005347,0.005347,0.005347
49,3715.19,0.89289,0.83961,1.08132,0.77121,0.65916,0.70728,0.52574,0.84698,0.81756,1.06249,0.005248,0.005248,0.005248
50,3787.68,0.88543,0.83309,1.07996,0.78855,0.65558,0.70742,0.5265,0.84648,0.81732,1.06215,0.005149,0.005149,0.005149
51,3861.11,0.8847,0.82338,1.08128,0.77254,0.6623,0.70843,0.5267,0.84622,0.81475,1.06221,0.00505,0.00505,0.00505
52,3933.63,0.88538,0.83306,1.08296,0.77306,0.6625,0.70995,0.52864,0.84588,0.81372,1.06257,0.004951,0.004951,0.004951
53,4006.64,0.88202,0.82471,1.07755,0.77412,0.66508,0.71008,0.5281,0.84551,0.81223,1.06234,0.004852,0.004852,0.004852
