epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4132,1.5881,3.37677,1.43195,0.04894,0.10662,0.00766,0.00257,2.47388,14.1724,3.15677,0.0703,0.0033,0.0033
2,65.7404,1.68714,2.82833,1.53472,0.10755,0.19808,0.02301,0.01043,2.23194,14.7092,2.25756,0.0402869,0.0066202,0.0066202
3,82.9367,1.68164,2.73658,1.53006,0.12217,0.24089,0.03895,0.0164,2.06495,11.5439,2.00981,0.0102605,0.0099272,0.0099272
4,99.4886,1.62975,2.62955,1.52019,0.14125,0.23566,0.08487,0.04172,1.92965,3.77656,1.89439,0.0099406,0.0099406,0.0099406
5,116.248,1.58709,2.5142,1.48559,0.12109,0.24035,0.0884,0.04244,1.83029,4.49366,1.78524,0.0099208,0.0099208,0.0099208
6,132.737,1.55845,2.42134,1.46305,0.17157,0.27522,0.13785,0.07417,1.64797,2.7671,1.55509,0.009901,0.009901,0.009901
7,149.373,1.53481,2.34259,1.44428,0.17453,0.27276,0.15194,0.0838,1.70322,2.63122,1.64752,0.0098812,0.0098812,0.0098812
8,165.792,1.51375,2.3203,1.4385,0.16975,0.25652,0.14347,0.07703,1.68355,2.80054,1.64642,0.0098614,0.0098614,0.0098614
9,182.354,1.5101,2.23839,1.44226,0.22611,0.29263,0.19302,0.10386,1.66143,2.46821,1.58271,0.0098416,0.0098416,0.0098416
10,198.628,1.488,2.18916,1.42437,0.24755,0.31783,0.20812,0.11564,1.60534,2.47596,1.53601,0.0098218,0.0098218,0.0098218
11,215.3,1.4815,2.15502,1.41308,0.25418,0.33397,0.21407,0.11914,1.61144,2.35224,1.52741,0.009802,0.009802,0.009802
12,231.487,1.46864,2.09663,1.40998,0.28129,0.34502,0.23946,0.13566,1.53151,2.25175,1.49094,0.0097822,0.0097822,0.0097822
13,248.061,1.46795,2.07846,1.40205,0.31393,0.35903,0.28554,0.15953,1.52151,2.15095,1.43948,0.0097624,0.0097624,0.0097624
14,264.475,1.43795,2.04326,1.3942,0.30299,0.38048,0.29163,0.17082,1.53647,2.08267,1.46716,0.0097426,0.0097426,0.0097426
15,280.878,1.43298,1.98491,1.3869,0.31898,0.35806,0.29644,0.17258,1.49636,2.11691,1.44369,0.0097228,0.0097228,0.0097228
16,297.294,1.43242,1.96069,1.38119,0.33643,0.40091,0.31288,0.18456,1.50707,2.02272,1.4577,0.009703,0.009703,0.009703
