epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0351,1.13665,3.75072,1.2726,0.66713,0.51667,0.62239,0.37501,1.44244,1.92561,1.02545,0.1,0,0
2,14.2666,1.65073,4.99802,1.52994,0.66777,0.51667,0.62169,0.37484,1.45922,1.98785,1.03224,0.0990918,9.17696e-05,9.17696e-05
3,14.5774,1.34506,4.26803,1.17216,0.6671,0.51667,0.51798,0.35142,1.47327,2.03004,1.03604,0.0981773,0.000177278,0.000177278
4,15.1971,1.38886,4.11968,1.42725,0.7371,0.35,0.43628,0.34218,1.42944,2.35335,0.99013,0.0972565,0.000256526,0.000256526
5,15.7881,1.41214,2.98585,1.32476,0.94445,0.35,0.37233,0.24789,1.76327,4.58361,1.19037,0.0963295,0.000329514,0.000329514
6,16.3308,1.30406,1.73837,1.11919,0.31569,0.08333,0.09161,0.01916,2.88243,9.00832,1.66043,0.0953962,0.00039624,0.00039624
7,16.6865,1.61351,2.37898,1.40535,0.00714,0.18333,0.00558,0.00351,2.84606,11.8027,1.50099,0.0944567,0.000456705,0.000456705
8,17.3103,1.43981,2.21964,1.37003,0.01063,0.2,0.0081,0.00348,2.8822,10.9131,1.51403,0.0935109,0.00051091,0.00051091
9,17.6717,1.44322,1.68324,1.39388,0.00682,0.18333,0.00507,0.00239,3.20024,9.22787,1.74214,0.0925589,0.000558854,0.000558854
10,18.0179,1.27713,1.79308,1.16477,0.0045,0.01667,0.00248,0.00074,3.33239,9.30352,1.75523,0.0916005,0.000600537,0.000600537
11,18.4056,1.73539,2.05747,1.41425,0,0,0,0,3.22832,13.6555,1.81474,0.090636,0.00063596,0.00063596
12,18.9576,1.35438,1.81739,1.22253,0,0,0,0,3.38229,32.2181,2.00759,0.0896651,0.000665121,0.000665121
13,19.3442,1.99237,2.13586,1.55971,0,0,0,0,3.71319,93.6116,2.50172,0.088688,0.000688022,0.000688022
14,19.6857,1.38639,2.47869,1.28951,0,0,0,0,3.60463,189.686,2.5221,0.0877047,0.000704662,0.000704662
15,20.1805,1.41698,1.66085,1.30638,0,0,0,0,3.28455,336.955,2.5385,0.086715,0.000715041,0.000715041
16,20.7475,1.60154,1.54215,1.30883,0,0,0,0,3.70183,341.991,3.26073,0.0857192,0.000719159,0.000719159
17,21.302,1.16415,1.06013,1.13317,0,0,0,0,3.64827,321.217,3.14874,0.084717,0.000717017,0.000717017
18,21.6663,1.3773,1.75581,1.16141,0,0,0,0,3.64827,321.217,3.14874,0.0837086,0.000708614,0.000708614
19,22.0359,1.10224,0.98678,1.03686,0,0,0,0,3.5875,325.104,3.14345,0.0826939,0.000693949,0.000693949
20,22.3923,1.29684,1.52928,1.31648,0,0,0,0,3.5875,325.104,3.14345,0.081673,0.000673025,0.000673025
21,30.0152,1.5093,2.10811,1.24519,0,0,0,0,3.23067,212.66,2.69303,0.0806458,0.000645839,0.000645839
22,30.3805,1.37457,1.40514,1.1252,0,0,0,0,3.23067,212.66,2.69303,0.0796124,0.000612392,0.000612392
23,30.7561,1.20327,1.4129,1.10551,0,0,0,0,2.9146,112.851,2.25229,0.0785727,0.000572685,0.000572685
24,31.297,1.22005,1.11647,1.02613,0,0,0,0,2.9146,112.851,2.25229,0.0775267,0.000526717,0.000526717
25,31.6555,1.08593,1.25507,1.0699,0,0,0,0,2.95591,81.5195,2.45493,0.0764745,0.000474488,0.000474488
26,31.998,1.23297,1.29306,1.08233,0,0,0,0,2.95591,81.5195,2.45493,0.075416,0.000415998,0.000415998
27,32.345,1.15844,1.29072,1.03933,0,0,0,0,2.95508,69.2171,2.67737,0.0743512,0.000351248,0.000351248
28,32.6729,1.23852,1.2926,1.16806,0,0,0,0,2.95508,69.2171,2.67737,0.0732802,0.000280236,0.000280236
29,33.293,1.04147,1.07757,1.06953,0,0,0,0,2.65045,87.0298,2.4276,0.072203,0.000202964,0.000202964
30,33.64,1.06547,1.13152,1.02964,0,0,0,0,2.65045,87.0298,2.4276,0.0711194,0.000119431,0.000119431
