epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7502,1.13457,3.68593,1.40716,0.66713,0.51667,0.62243,0.37499,1.50827,1.98497,1.22071,0.1,0,0
2,11.4451,1.58846,4.9223,1.71588,0.66823,0.51667,0.58039,0.36665,1.52253,2.04602,1.22623,0.0990955,9.55411e-05,9.55411e-05
3,11.769,1.44798,4.05284,1.41356,0.66841,0.51667,0.51801,0.35149,1.53986,2.08607,1.23143,0.0981846,0.000184564,0.000184564
4,12.2086,1.51726,4.43925,1.68686,0.90222,0.35,0.37317,0.26586,1.79106,2.74834,1.29813,0.0972671,0.00026707,0.00026707
5,12.7568,1.53683,2.90471,1.59644,0.64119,0.35,0.3508,0.21077,2.12353,4.42673,1.47787,0.0963431,0.000343058,0.000343058
6,13.3149,1.46076,1.63269,1.3501,0.11989,0.53333,0.18844,0.11159,2.4102,5.42161,1.62449,0.0954125,0.000412528,0.000412528
7,13.67,1.5203,2.01874,1.52946,0.02464,0.26667,0.0966,0.01143,3.12698,7.69531,2.15507,0.0944755,0.00047548,0.00047548
8,14.0291,1.51633,2.91419,1.55911,0.02048,0.26667,0.09696,0.01164,3.11038,7.19019,2.1112,0.0935319,0.000531915,0.000531915
9,14.5333,1.54692,2.05965,1.65356,0,0,0,0,3.25838,8.35092,2.09565,0.0925818,0.000581831,0.000581831
10,15.0824,1.51497,1.67496,1.43893,0,0,0,0,3.09308,13.3436,1.81002,0.0916252,0.00062523,0.00062523
11,15.4199,1.67928,2.03084,1.64469,0,0,0,0,2.96269,29.1107,2.30927,0.0906621,0.000662111,0.000662111
12,16.1778,1.36988,1.51504,1.45978,0,0,0,0,3.26611,78.1756,2.89806,0.0896925,0.000692475,0.000692475
13,16.7117,1.9146,2.19942,1.84114,0,0,0,0,3.14632,106.479,2.79763,0.0887163,0.000716321,0.000716321
14,17.0365,1.3996,2.64528,1.53382,0,0,0,0,2.87796,75.1491,3.05225,0.0877336,0.000733648,0.000733648
15,17.6593,1.72987,1.78105,1.70063,0,0,0,0,2.90374,93.4659,2.72046,0.0867445,0.000744459,0.000744459
16,18.0005,1.79866,1.45234,1.68436,0,0,0,0,2.73453,93.245,2.68945,0.0857488,0.000748751,0.000748751
17,18.3625,1.16402,1.36698,1.36229,0,0,0,0,3.1773,78.7832,3.60407,0.0847465,0.000746525,0.000746525
18,18.8872,1.46532,1.61578,1.45048,0,0,0,0,3.1773,78.7832,3.60407,0.0837378,0.000737782,0.000737782
19,19.2155,1.23223,1.185,1.35139,0,0,0,0,3.30976,48.985,3.81793,0.0827225,0.000722521,0.000722521
20,19.5187,1.4754,1.60188,1.58541,0,0,0,0,3.30976,48.985,3.81793,0.0817007,0.000700742,0.000700742
21,26.3204,1.74856,1.95156,1.83578,0,0,0,0,3.2036,35.6739,3.36983,0.0806724,0.000672446,0.000672446
22,26.8892,1.31871,1.57103,1.34883,0,0,0,0,3.2036,35.6739,3.36983,0.0796376,0.000637632,0.000637632
23,27.2564,1.47046,1.32623,1.53806,0,0,0,0,2.86293,25.4617,2.93654,0.0785963,0.0005963,0.0005963
24,27.6181,0.94319,1.25558,1.13492,0,0,0,0,2.86293,25.4617,2.93654,0.0775484,0.00054845,0.00054845
25,27.9467,1.24276,1.15672,1.37202,0,0,0,0,2.82716,22.2083,2.79501,0.0764941,0.000494082,0.000494082
26,28.4778,1.23472,1.36828,1.27712,0,0,0,0,2.82716,22.2083,2.79501,0.0754332,0.000433197,0.000433197
27,28.8222,1.29956,1.46826,1.37484,0,0,0,0,2.66367,21.4194,2.76687,0.0743658,0.000365794,0.000365794
28,29.1298,1.08275,1.06314,1.24654,0,0,0,0,2.66367,21.4194,2.76687,0.0732919,0.000291873,0.000291873
29,29.6865,1.26286,1.20198,1.32883,0,0,0,0,2.76309,23.3908,2.95501,0.0722114,0.000211434,0.000211434
30,29.9976,1.02383,1.21212,1.22628,0,0,0,0,2.76309,23.3908,2.95501,0.0711245,0.000124478,0.000124478
