epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.095,1.725,3.99617,1.76367,0.24639,0.02047,0.0011,0.00042,2.96906,6.63507,2.85821,0.070084,0.003324,0.003324
2,251.716,1.68026,3.86226,1.74699,0.47319,0.01431,0.00243,0.00112,2.71112,6.35358,2.5846,0.0400291,0.00660241,0.00660241
3,367.345,1.63026,3.82666,1.72177,0.06507,0.07487,0.00208,0.00061,3.0247,7.17839,2.81637,0.00991919,0.00982582,0.00982582
4,457.78,1.59973,3.81034,1.699,0.0009,0.10445,0.00164,0.00062,2.9922,4.87997,2.78114,0.0097525,0.0097525,0.0097525
5,549.928,1.57203,3.79426,1.68219,0.0019,0.17517,0.00352,0.00168,2.15427,4.40379,2.11233,0.00967,0.00967,0.00967
6,645.848,1.5428,3.7737,1.66604,0.47901,0.02362,0.00978,0.00447,2.40165,4.46424,2.33693,0.0095875,0.0095875,0.0095875
7,737.067,1.52622,3.76037,1.65786,0.37169,0.06714,0.00582,0.00222,2.26018,4.32331,2.22788,0.009505,0.009505,0.009505
8,831.66,1.51713,3.74466,1.65497,0.59011,0.02014,0.01472,0.00719,2.11819,4.32377,2.10219,0.0094225,0.0094225,0.0094225
9,933.968,1.5115,3.71513,1.65089,0.80759,0.00591,0.01151,0.00608,2.11224,4.50422,2.11051,0.00934,0.00934,0.00934
10,1026.84,1.50474,3.69523,1.64059,0.73162,0.02569,0.01788,0.0067,2.05609,3.85489,2.0292,0.0092575,0.0092575,0.0092575
11,1119.95,1.49228,3.6753,1.63326,0.62981,0.02741,0.01949,0.00708,2.11107,4.04377,2.07048,0.009175,0.009175,0.009175
12,1211.41,1.48551,3.67198,1.63125,0.70855,0.02062,0.01677,0.00532,2.14309,4.14633,2.11762,0.0090925,0.0090925,0.0090925
13,1303.47,1.49513,3.66563,1.6323,0.75222,0.03172,0.03237,0.01269,2.03747,3.78932,2.04426,0.00901,0.00901,0.00901
14,1394.92,1.4808,3.64678,1.62885,0.68676,0.03725,0.02942,0.01152,2.03597,3.80151,2.00555,0.0089275,0.0089275,0.0089275
15,1490.51,1.47952,3.6407,1.62607,0.6575,0.05034,0.03076,0.01263,1.89904,3.90208,1.92919,0.008845,0.008845,0.008845
16,1582.54,1.47245,3.6279,1.62441,0.71451,0.04632,0.02386,0.01024,1.89949,3.82886,1.91553,0.0087625,0.0087625,0.0087625
17,1674.56,1.46293,3.60864,1.62079,0.73698,0.04633,0.03723,0.01361,1.96836,3.66059,1.96446,0.00868,0.00868,0.00868
18,1767.41,1.47201,3.60551,1.62412,0.7623,0.03166,0.03135,0.00983,2.04579,3.75693,2.03162,0.0085975,0.0085975,0.0085975
19,1860.47,1.45899,3.59013,1.61651,0.73077,0.05921,0.0388,0.01393,1.93222,3.75281,1.95158,0.008515,0.008515,0.008515
20,1951.19,1.45841,3.57118,1.61777,0.74504,0.04112,0.04859,0.01862,2.03763,3.51632,1.99644,0.0084325,0.0084325,0.0084325
21,2042.7,1.4575,3.57986,1.61571,0.8175,0.04356,0.06235,0.02418,1.9885,3.53265,1.98419,0.00835,0.00835,0.00835
22,2133.9,1.4509,3.55278,1.61278,0.78632,0.05415,0.05983,0.02302,1.95641,3.4352,1.97077,0.0082675,0.0082675,0.0082675
23,2225.16,1.4494,3.54883,1.61395,0.80322,0.0508,0.0656,0.02714,1.94413,3.48247,1.95804,0.008185,0.008185,0.008185
24,2315.92,1.44969,3.5391,1.61235,0.81015,0.05083,0.07334,0.03182,1.9107,3.35125,1.91906,0.0081025,0.0081025,0.0081025
25,2408.28,1.45916,3.53214,1.61647,0.80925,0.04781,0.07027,0.0301,1.92331,3.43517,1.93113,0.00802,0.00802,0.00802
26,2500,1.44176,3.52243,1.60682,0.78032,0.05644,0.07546,0.02857,1.93087,3.4629,1.9395,0.0079375,0.0079375,0.0079375
